filename,Use_EWC,optimizer,scheduler,learned_percent,learning_rate,times,average_train_loss,mean_absolute_error,,,filename,optimizer_T_Test,EWC_T_Test
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,49,0.048727,63.7959,,,,,
dataset/Stock_2.csv,No,Adam,StepLR:1,0.99,0.001,50,0.048727,63.7959,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,1,1.192705,263.55357,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,2,0.791743,214.03479,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,3,0.505046,161.10319,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,4,0.307909,119.30512,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,5,0.194566,91.85461,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,6,0.133795,72.17283,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,7,0.100582,61.94891,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,8,0.081917,56.12063,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,9,0.070724,52.08837,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,10,0.063826,49.42193,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,11,0.059346,47.62926,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,12,0.056359,46.24132,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,13,0.054345,45.44638,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,14,0.052952,44.98033,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,15,0.05198,44.60318,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,16,0.051297,44.36427,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,17,0.050815,44.18599,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,18,0.050474,44.06432,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,19,0.050233,43.96951,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,20,0.05006,43.90561,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,21,0.049939,43.85774,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,22,0.049852,43.82624,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,23,0.04979,43.80293,,,,,
dataset/Stock_3.csv,No,Adam,StepLR:1,0.99,0.001,24,0.049747,43.78632,,,,,
