trade_date,open,close,high,low,volume,ts_code
2016/4/25,234.965,232.493,235.897,231.333,24990,600519
2016/4/26,232.902,231.866,234.737,231.048,15156,600519
2016/4/27,232.474,232.835,233.406,231.514,13915,600519
2016/4/28,233.739,234.319,234.604,231.999,17156,600519
2016/4/29,235.222,238.845,240.014,235.222,46079,600519
2016/5/3,238.226,247.212,249.38,238.226,56474,600519
2016/5/4,247.212,243.608,249.484,243.399,28636,600519
2016/5/5,243.884,245.091,245.453,242.933,13517,600519
2016/5/6,244.654,239.814,245.804,238.768,27173,600519
2016/5/9,237.827,238.483,240.366,236.762,27799,600519
2016/5/10,237.228,239.681,241.507,236.857,33505,600519
2016/5/11,239.938,244.236,247.668,239.938,49277,600519
2016/5/12,241.526,243.37,243.941,239.605,18894,600519
2016/5/13,243.389,238.616,246.166,238.179,28145,600519
2016/5/16,238.521,239.253,239.415,235.136,22202,600519
2016/5/17,238.664,237.732,239.986,237.542,11785,600519
2016/5/18,236.829,232.417,239.463,231.143,28380,600519
2016/5/19,233.102,233.682,236.277,232.474,20889,600519
2016/5/20,234.699,238.902,239.776,232.303,25501,600519
2016/5/23,237.437,241.697,242.448,237.437,18706,600519
2016/5/24,241.897,239.548,242.657,237.799,11674,600519
2016/5/25,241.963,239.472,242.401,238.664,17785,600519
2016/5/26,239.596,240.28,241.317,236.943,18120,600519
2016/5/27,240.29,240.024,242.163,239.016,13230,600519
2016/5/30,239.13,243.532,243.884,237.704,29806,600519
2016/5/31,243.408,251.462,253.506,242.648,53949,600519
2016/6/1,252.346,250.815,252.441,250.064,21876,600519
2016/6/2,250.074,254.571,255.465,250.074,24760,600519
2016/6/3,253.867,269.927,272.636,253.297,64798,600519
2016/6/6,268.13,262.472,269.08,261.474,37261,600519
2016/6/7,262.9,264.184,264.792,261.483,18753,600519
2016/6/8,262.805,260.789,264.193,260.048,23882,600519
2016/6/13,259.905,253.924,263.052,253.154,37775,600519
2016/6/14,254.542,259.335,260.333,254.542,25587,600519
2016/6/15,257.395,262.891,264.136,256.919,27322,600519
2016/6/16,261.341,260.542,264.136,260.314,19643,600519
2016/6/17,260.143,264.574,268.595,260.143,24705,600519
2016/6/20,266.009,262.529,266.095,260.523,19019,600519
2016/6/21,263.414,260.342,264.269,259.572,16749,600519
2016/6/22,260.304,264.745,265.619,259.354,20884,600519
2016/6/23,266.199,262.843,266.199,261.36,13984,600519
2016/6/24,261.74,260.304,263.376,254.058,20129,600519
2016/6/27,261.474,273.53,277.923,261.474,63642,600519
2016/6/28,272.903,274.034,275.413,272.237,24282,600519
2016/6/29,273.407,274.006,275.213,270.221,28147,600519
2016/6/30,275.755,277.562,283.533,275.755,38022,600519
2016/7/1,278.96,277.959,283.506,275.852,26014,600519
2016/7/4,278.766,285.468,286.925,277.794,29488,600519
2016/7/5,286.565,291.956,294.404,286.565,41707,600519
2016/7/6,291.198,308.089,308.876,290.431,47347,600519
2016/7/7,306.739,307.817,317.424,303.126,50725,600519
2016/7/8,304.534,301.018,306.448,297.376,45545,600519
2016/7/11,300.164,306.098,314.704,300.164,57481,600519
2016/7/12,306.7,315.413,317.229,305.962,53119,600519
2016/7/13,313.762,308.089,315.413,306.011,53448,600519
2016/7/14,307.021,307.992,311.596,306.157,29230,600519
2016/7/15,308.021,308.41,308.905,306.021,26811,600519
2016/7/18,308.391,307.138,310.333,306.603,23352,600519
2016/7/19,306.448,299.27,307.225,296.783,41431,600519
2016/7/20,299.765,299.707,301.951,298.677,17733,600519
2016/7/21,301.251,305.36,308.488,300.134,33009,600519
2016/7/22,303.923,299.085,306.157,298.561,28871,600519
2016/7/25,298.775,302.33,305.175,298.192,23623,600519
2016/7/26,300.144,309.886,310.333,299.649,35555,600519
2016/7/27,310.673,305.001,311.402,299.454,39228,600519
2016/7/28,303.048,306.982,310.139,302.563,39643,600519
2016/7/29,306.04,304.165,309.731,304.02,29007,600519
2016/8/1,304.02,298.153,304.942,296.249,31701,600519
2016/8/2,298.435,297.424,301.591,294.161,26541,600519
2016/8/3,298.192,298.017,299.066,295.424,24039,600519
2016/8/4,298.046,297.512,299.484,295.492,21793,600519
2016/8/5,297.696,297.152,299.522,296.278,20308,600519
2016/8/8,297.366,299.26,299.454,294.365,22007,600519
2016/8/9,299.328,306.691,308.556,297.628,39289,600519
2016/8/10,306.011,304.806,307.419,304.34,20944,600519
2016/8/11,305.36,307.681,312.344,305.001,31939,600519
2016/8/12,308.293,307.876,308.293,305.001,23352,600519
2016/8/15,306.739,309.634,312.46,305.137,34110,600519
2016/8/16,312.761,300.639,313.228,299.163,88378,600519
2016/8/17,300.717,299.319,302.048,297.706,43754,600519
2016/8/18,299.115,297.638,300.766,296.375,31005,600519
2016/8/19,297.026,297.687,298.629,296.055,19140,600519
2016/8/22,297.347,298.503,300.698,297.22,20812,600519
