trade_date,open,high,low,close,volume
2017/2/9,266.25,271.179993,266.149994,269.200012,7820200
2017/2/10,269.790009,270.950012,266.109985,269.230011,3619700
2017/2/13,270.73999,280.790009,270.51001,280.600006,7029600
2017/2/14,279.029999,287.390015,278.609985,280.980011,7345200
2017/2/15,280,282.23999,276.440002,279.76001,4947900
2017/2/16,277.600006,280,268.5,268.950012,7077300
2017/2/17,265.799988,272.890015,264.149994,272.230011,6257100
2017/2/21,275.450012,281.399994,274.01001,277.390015,5676700
2017/2/22,280.309998,283.450012,272.600006,273.51001,8755000
2017/2/23,264,264.660004,255.559998,255.990005,14915200
2017/2/24,252.660004,258.25,250.199997,257,8171600
2017/2/27,248.169998,248.360001,242.009995,246.229996,11460800
2017/2/28,244.190002,251,243.899994,249.990005,6078100
2017/3/1,254.179993,254.850006,249.110001,250.020004,4809500
2017/3/2,249.710007,253.279999,248.270004,250.479996,3351800
2017/3/3,250.740005,251.899994,249,251.570007,2919400
2017/3/6,247.910004,251.699997,247.509995,251.210007,3355500
2017/3/7,251.919998,253.889999,248.320007,248.589996,3459500
2017/3/8,247,250.070007,245.320007,246.869995,3725200
2017/3/9,247.630005,248.660004,243,244.899994,3879300
2017/3/10,246.210007,246.5,243,243.690002,3066300
2017/3/13,244.820007,246.850006,242.779999,246.169998,3022600
2017/3/14,246.110001,258.119995,246.020004,258,7598400
2017/3/15,257,261,254.270004,255.729996,5330800
2017/3/16,262.399994,265.75,259.059998,262.049988,7132200
2017/3/17,264,265.329987,261.200012,261.5,6497500
2017/3/20,260.600006,264.549988,258.820007,261.920013,3614300
2017/3/21,262.829987,264.799988,250.240005,250.679993,6908600
2017/3/22,251.559998,255.070007,250.509995,255.009995,4059300
2017/3/23,255.389999,257.670013,253.300003,254.779999,3320200
2017/3/24,255.699997,263.890015,255.009995,263.160004,5647300
2017/3/27,260.600006,270.570007,259.75,270.220001,6230800
2017/3/28,277.019989,280.679993,275,277.450012,7987600
2017/3/29,278.339996,279.600006,275.540009,277.380005,3676200
2017/3/30,278.040009,282,277.209991,277.920013,4148400
2017/3/31,278.730011,279.679993,276.320007,278.299988,3294600
2017/4/3,286.899994,299,284.579987,298.519989,13888600
2017/4/4,296.890015,304.809998,294.529999,303.700012,10134600
2017/4/5,302.040009,304.880005,294.200012,295,7880900
2017/4/6,296.880005,301.940002,294.100006,298.700012,5520600
2017/4/7,297.5,302.690002,297.149994,302.540009,4579600
2017/4/10,309.149994,313.730011,308.709991,312.390015,7664500
2017/4/11,313.380005,313.470001,305.5,308.709991,5724600
2017/4/12,306.339996,308.450012,296.320007,296.839996,6050700
2017/4/13,296.700012,307.390015,295.299988,304,9284600
2017/4/17,302.700012,304,298.679993,301.440002,4138700
2017/4/18,299.700012,300.839996,297.899994,300.25,3035700
2017/4/19,302.459991,306.619995,302.109985,305.519989,3898000
2017/4/20,306.51001,309.149994,300.230011,302.51001,6149400
2017/4/21,302,306.399994,300.420013,305.600006,4509800
2017/4/24,309.220001,310.549988,306.019989,308.029999,5083500
2017/4/25,308,313.980011,305.859985,313.790009,6737700
2017/4/26,312.369995,314.5,309,310.170013,4695000
2017/4/27,311.690002,313.089996,307.5,308.630005,3468600
2017/4/28,309.829987,314.799988,308,314.070007,4505500
2017/5/1,314.880005,327.25,314.809998,322.829987,8829600
2017/5/2,324,327.660004,316.559998,318.890015,5382800
2017/5/3,317.670013,321.529999,310.450012,311.019989,7133400
2017/5/4,307.440002,307.769989,290.76001,295.459991,14152000
2017/5/5,298,308.549988,296.799988,308.350006,8177300
2017/5/8,310.899994,313.790009,305.820007,307.190002,7006500
2017/5/9,309.380005,321.98999,309.100006,321.26001,9676500
2017/5/10,321.559998,325.5,318.119995,325.220001,5741600
2017/5/11,323.399994,326,319.600006,323.100006,4753800
2017/5/12,325.480011,327,321.529999,324.809998,4121600
2017/5/15,318.380005,320.200012,312.529999,315.880005,7622000
2017/5/16,317.589996,320.059998,315.140015,317.01001,4152500
2017/5/17,314.390015,314.630005,305.5,306.109985,6711900
2017/5/18,307,313.940002,305.309998,313.059998,5653800
2017/5/19,315.5,316.5,310.200012,310.829987,4687600
2017/5/22,312.799988,314.369995,306.799988,310.350006,4329200
2017/5/23,310.459991,310.730011,303.480011,303.859985,4318400
2017/5/24,306.51001,311,305.399994,310.220001,5033300
2017/5/25,311.019989,316.970001,307.809998,316.829987,5014000
2017/5/26,317.279999,325.48999,316.309998,325.140015,7802200
2017/5/30,326,336.279999,325.76001,335.100006,7782900
2017/5/31,337.690002,342.890015,335.160004,341.01001,9963400
2017/6/1,344,344.880005,337.290009,340.369995,7608000
2017/6/2,339.769989,342.880005,335.929993,339.850006,5590200
2017/6/5,338.5,348.440002,334.209991,347.320007,6784400
2017/6/6,344.700012,359.48999,339.970001,352.850006,11086800
2017/6/7,356.339996,360.5,355.140015,359.649994,9398000
2017/6/8,363.75,371.899994,360.220001,370,9061500
2017/6/9,374.420013,376.869995,354.799988,357.320007,17261400
2017/6/12,357.98999,364.5,350.619995,359.01001,10517700
2017/6/13,367.619995,376,366.609985,375.950012,11807900
2017/6/14,381.089996,384.25,376.309998,380.660004,12818400
2017/6/15,372.5,375.459991,366.48999,375.339996,10426500
2017/6/16,377.980011,378.01001,370.100006,371.399994,6731000
2017/6/19,375,376.700012,367.799988,369.799988,6549300
2017/6/20,376.670013,378.880005,369.730011,372.23999,7438700
2017/6/21,374.350006,376.98999,368.019989,376.399994,4923200
2017/6/22,377.98999,385,373.570007,382.609985,7529800
2017/6/23,382.450012,386.98999,379.350006,383.450012,6445800
2017/6/26,386.690002,386.950012,373.100006,377.48999,6604100
2017/6/27,376.399994,376.399994,362.019989,362.369995,6996400
2017/6/28,366.679993,371.73999,362.519989,371.23999,6302500
2017/6/29,370.609985,371,354.100006,360.75,8221000
2017/6/30,363.709991,366.769989,359.619995,361.609985,5848500
2017/7/3,370.23999,371.350006,351.5,352.619995,6305400
2017/7/5,347.200012,347.23999,326.329987,327.089996,17046700
2017/7/6,317.26001,320.790009,306.299988,308.829987,19324500
2017/7/7,313.5,317,307.380005,313.220001,14176900
2017/7/10,312.899994,317.940002,303.130005,316.049988,13820900
2017/7/11,316,327.279999,314.299988,327.220001,11559400
2017/7/12,330.399994,333.100006,324.5,329.519989,10346100
2017/7/13,330.109985,331.600006,319.970001,323.410004,8594500
2017/7/14,323.190002,328.420013,321.220001,327.779999,5625200
